iter	Logloss_SumError	Logloss_SumWeight	Precision_SumError	Precision_SumWeight
0	360.4264284	520	130	233
10	360.3846927	520	147	281
20	360.3202962	520	151	283
30	360.2908572	520	153	284
40	360.2480927	520	156	287
50	360.2460374	520	150	281
60	360.2027328	520	155	283
70	360.1736213	520	156	290
80	360.1284493	520	156	287
90	360.0817071	520	157	288
100	360.0262613	520	159	290
110	360.0040565	520	160	290
120	359.9690266	520	160	292
130	359.9293436	520	161	294
140	359.8847607	520	163	294
150	359.8407436	520	163	295
160	359.7963122	520	162	294
170	359.7576136	520	162	293
180	359.7346579	520	162	292
190	359.6956386	520	163	294
200	359.6784701	520	164	294
210	359.6623459	520	161	291
220	359.6174862	520	162	293
230	359.5872425	520	162	293
240	359.5669371	520	160	290
250	359.5420716	520	160	289
260	359.498415	520	161	291
270	359.4423876	520	161	292
280	359.3705393	520	161	292
290	359.3416966	520	162	292
300	359.3086219	520	163	293
310	359.2859423	520	163	293
320	359.2646479	520	161	291
330	359.2612017	520	161	291
340	359.2437972	520	162	292
350	359.2134021	520	161	291
360	359.2018173	520	162	291
370	359.1388789	520	161	291
380	359.0915721	520	159	289
390	359.062544	520	159	288
400	359.030247	520	159	288
410	359.0107707	520	156	286
420	358.9848073	520	159	288
430	358.9571938	520	158	286
440	358.9533234	520	158	286
450	358.9369689	520	157	285
460	358.9120302	520	158	286
470	358.9060231	520	157	285
480	358.889075	520	156	282
490	358.8695377	520	157	283
500	358.8209017	520	157	283
510	358.8125844	520	157	284
520	358.8364216	520	158	285
530	358.8106863	520	157	285
540	358.7869197	520	157	285
550	358.7861259	520	156	284
560	358.7737623	520	158	286
570	358.7596326	520	158	284
580	358.7592605	520	158	284
590	358.742493	520	157	283
600	358.7388232	520	156	282
610	358.7128118	520	156	282
620	358.7068825	520	156	282
630	358.6869138	520	157	284
640	358.6867377	520	157	285
650	358.6974141	520	157	284
660	358.6983158	520	157	283
670	358.6778002	520	157	284
680	358.6652343	520	157	285
690	358.6598104	520	157	283
700	358.634443	520	156	282
710	358.6220428	520	156	282
720	358.6210067	520	156	283
730	358.596895	520	156	283
740	358.5821509	520	156	282
750	358.5742173	520	157	284
760	358.5595359	520	158	285
770	358.5429524	520	158	285
780	358.5297296	520	158	286
790	358.5192181	520	158	287
800	358.5230638	520	158	285
810	358.5240205	520	159	286
820	358.4989794	520	159	286
830	358.5186948	520	159	287
840	358.5236093	520	158	285
850	358.5098471	520	160	286
860	358.5175584	520	159	286
870	358.5224913	520	159	286
880	358.500289	520	158	285
890	358.5117181	520	158	285
900	358.4812563	520	159	286
910	358.4810257	520	159	286
920	358.477853	520	159	286
930	358.47914	520	158	285
940	358.463674	520	158	285
950	358.4589963	520	158	284
960	358.4460002	520	158	284
970	358.4243521	520	158	285
980	358.4380493	520	159	286
990	358.4307875	520	159	285
1000	358.4125142	520	158	284
1010	358.4161372	520	160	286
1020	358.4260477	520	159	286
1030	358.4219871	520	157	283
1040	358.4114163	520	159	286
1050	358.4207967	520	158	284
1060	358.4320629	520	158	284
1070	358.4385268	520	158	285
1080	358.4360843	520	158	285
1090	358.4440856	520	157	284
1100	358.4365357	520	158	285
1110	358.4263642	520	156	283
1120	358.4003302	520	158	285
1130	358.4023353	520	159	286
1140	358.374003	520	159	286
1150	358.3754313	520	159	286
1160	358.3580268	520	159	286
1170	358.3667947	520	158	284
1180	358.3802787	520	158	284
1190	358.393426	520	157	283
1200	358.4041571	520	157	283
1210	358.386394	520	157	283
1220	358.4011108	520	158	285
1230	358.3908617	520	157	284
1240	358.3852802	520	158	285
1250	358.3709139	520	157	284
1260	358.376314	520	157	284
1270	358.3563991	520	157	283
1280	358.3622978	520	158	285
1290	358.3397939	520	157	284
1300	358.3552552	520	158	285
1310	358.3676049	520	157	283
1320	358.3637107	520	157	284
1330	358.3577214	520	157	283
1340	358.3633578	520	157	284
1350	358.3574214	520	158	284
1360	358.3855484	520	157	283
1370	358.3932757	520	157	283
1380	358.3944017	520	158	285
1390	358.3864615	520	157	284
1400	358.3779763	520	156	283
1410	358.3889464	520	156	282
1420	358.3776087	520	157	282
1430	358.3755684	520	157	282
1440	358.3517072	520	157	282
1450	358.3580287	520	157	283
1460	358.3722476	520	158	284
1470	358.3729225	520	157	283
1480	358.3601537	520	157	283
1490	358.3703247	520	157	283
1500	358.3690659	520	157	285
1510	358.3651552	520	157	285
1520	358.3888574	520	156	283
1530	358.3935279	520	156	282
1540	358.3851977	520	156	281
1550	358.3844665	520	156	281
1560	358.3793375	520	156	281
1570	358.3855102	520	156	281
1580	358.411348	520	157	282
1590	358.4068488	520	158	282
1600	358.4033418	520	157	281
1610	358.40662	520	157	281
1620	358.3969767	520	157	281
1630	358.4210808	520	157	281
1640	358.42764	520	157	281
1650	358.4291658	520	157	281
1660	358.4413331	520	157	282
1670	358.4642426	520	158	283
1680	358.4913558	520	158	283
1690	358.4924411	520	158	283
1700	358.4983855	520	157	282
1710	358.5108937	520	158	283
1720	358.5168836	520	158	283
1730	358.5270501	520	157	282
1740	358.5298722	520	157	282
1750	358.5276358	520	157	282
1760	358.5358204	520	158	283
1770	358.5357914	520	157	282
1780	358.5360881	520	157	282
1790	358.5413014	520	157	282
1800	358.5655671	520	157	282
1810	358.5574672	520	157	282
1820	358.5744788	520	157	282
1830	358.587796	520	157	282
1840	358.5797374	520	158	283
1850	358.5800985	520	157	282
1860	358.5732641	520	159	284
1870	358.569688	520	158	283
1880	358.5755521	520	158	283
1890	358.6003611	520	159	284
1900	358.615112	520	157	282
1908	358.6280177	520	160	285
